run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	instrument_platform	instrument_model	experiment_alias	fastq_bytes	fastq_ftp	submitted_bytes	submitted_ftp	sra_bytes	sra_ftp	sample_alias	bam_ftp	bam_bytes
SRR19762197	SAMN29220964	SRX15806959	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG00318_batch11_rep1	1253484422;1256810269	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/097/SRR19762197/SRR19762197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/097/SRR19762197/SRR19762197_2.fastq.gz			1833457589	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/097/SRR19762197/SRR19762197.lite	HG00318		
SRR19762198	SAMN29221473	SRX15806954	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA18877_batch01_rep1	1468595389;1471495941	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/098/SRR19762198/SRR19762198_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/098/SRR19762198/SRR19762198_2.fastq.gz			2095359385	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/098/SRR19762198/SRR19762198.lite	NA18877		
SRR19762202	SAMN29221457	SRX15806948	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA18621_batch05_rep1	3038371061;3026219874	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/002/SRR19762202/SRR19762202_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/002/SRR19762202/SRR19762202_2.fastq.gz			4412312035	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/002/SRR19762202/SRR19762202.lite	NA18621		
SRR19762204	SAMN29221460	SRX15806952	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA18636_batch02_rep1	1807213694;1809176930	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/004/SRR19762204/SRR19762204_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/004/SRR19762204/SRR19762204_2.fastq.gz			2557613338	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/004/SRR19762204/SRR19762204.lite	NA18636		
SRR19762207	SAMN29221453	SRX15806944	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA18596_batch06_rep1	1348061194;1364350215	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/007/SRR19762207/SRR19762207_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/007/SRR19762207/SRR19762207_2.fastq.gz			1922908593	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/007/SRR19762207/SRR19762207.lite	NA18596		
SRR19762210	SAMN29221452	SRX15806943	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA18574_batch10_rep1	1758743697;1767792471	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/010/SRR19762210/SRR19762210_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/010/SRR19762210/SRR19762210_2.fastq.gz			2495353137	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/010/SRR19762210/SRR19762210.lite	NA18574		
SRR19762211	SAMN29221454	SRX15806945	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA18608_batch11_rep1	1662240475;1666077590	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/011/SRR19762211/SRR19762211_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/011/SRR19762211/SRR19762211_2.fastq.gz			2430227715	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/011/SRR19762211/SRR19762211.lite	NA18608		
SRR19762213	SAMN29221449	SRX15806939	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA18557_batch09_rep1	1840219751;1845890812	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/013/SRR19762213/SRR19762213_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/013/SRR19762213/SRR19762213_2.fastq.gz			2638914365	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/013/SRR19762213/SRR19762213.lite	NA18557		
SRR19762214	SAMN29221434	SRX15806937	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA18507_batch10_rep1	1741076152;1749934897	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/014/SRR19762214/SRR19762214_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/014/SRR19762214/SRR19762214_2.fastq.gz			2463411085	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/014/SRR19762214/SRR19762214.lite	NA18507		
SRR19762220	SAMN29220961	SRX15806932	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG00290_batch04_rep1	1038117845;1039594619	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/020/SRR19762220/SRR19762220_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/020/SRR19762220/SRR19762220_2.fastq.gz			1531201599	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/020/SRR19762220/SRR19762220.lite	HG00290		
SRR19762222	SAMN29221426	SRX15806928	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA12828_batch11_rep1	1678749868;1682621360	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/022/SRR19762222/SRR19762222_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/022/SRR19762222/SRR19762222_2.fastq.gz			2430542952	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/022/SRR19762222/SRR19762222.lite	NA12828		
SRR19762232	SAMN29221385	SRX15806924	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG04107_batch06_rep1	1502223546;1519840156	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/032/SRR19762232/SRR19762232_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/032/SRR19762232/SRR19762232_2.fastq.gz			2138005292	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/032/SRR19762232/SRR19762232.lite	HG04107		
SRR19762236	SAMN29221376	SRX15806914	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG04047_batch13_rep1	1792291058;1794540061	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/036/SRR19762236/SRR19762236_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/036/SRR19762236/SRR19762236_2.fastq.gz			2554816870	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/036/SRR19762236/SRR19762236.lite	HG04047		
SRR19762237	SAMN29221375	SRX15806913	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG04033_batch09_rep1	1437236331;1443259214	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/037/SRR19762237/SRR19762237_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/037/SRR19762237/SRR19762237_2.fastq.gz			2074359841	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/037/SRR19762237/SRR19762237.lite	HG04033		
SRR19762238	SAMN29221377	SRX15806915	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG04054_batch13_rep1	1651269086;1653678915	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/038/SRR19762238/SRR19762238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/038/SRR19762238/SRR19762238_2.fastq.gz			2369457517	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/038/SRR19762238/SRR19762238.lite	HG04054		
SRR19762239	SAMN29221379	SRX15806917	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG04060_batch10_rep1	1690453642;1699034637	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/039/SRR19762239/SRR19762239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/039/SRR19762239/SRR19762239_2.fastq.gz			2410516097	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/039/SRR19762239/SRR19762239.lite	HG04060		
SRR19762240	SAMN29221374	SRX15806912	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG04029_batch14_rep1	1365594799;1367690088	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/040/SRR19762240/SRR19762240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/040/SRR19762240/SRR19762240_2.fastq.gz			1958019310	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/040/SRR19762240/SRR19762240.lite	HG04029		
SRR19762245	SAMN29221332	SRX15806908	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03717_batch10_rep1	1404175533;1411168230	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/045/SRR19762245/SRR19762245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/045/SRR19762245/SRR19762245_2.fastq.gz			2002422778	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/045/SRR19762245/SRR19762245.lite	HG03717		
SRR19762250	SAMN29221325	SRX15806900	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03692_batch16_rep1	1435112131;1441971476	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/050/SRR19762250/SRR19762250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/050/SRR19762250/SRR19762250_2.fastq.gz			2097986210	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/050/SRR19762250/SRR19762250.lite	HG03692		
SRR19762251	SAMN29221324	SRX15806899	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03673_batch04_rep1	1110446797;1113596276	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/051/SRR19762251/SRR19762251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/051/SRR19762251/SRR19762251_2.fastq.gz			1630201001	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/051/SRR19762251/SRR19762251.lite	HG03673		
SRR19762252	SAMN29221326	SRX15806901	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03695_batch15_rep1	1612583100;1614476317	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/052/SRR19762252/SRR19762252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/052/SRR19762252/SRR19762252_2.fastq.gz			2280425779	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/052/SRR19762252/SRR19762252.lite	HG03695		
SRR19762254	SAMN29221323	SRX15806898	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03668_batch05_rep1	2495191312;2491869367	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/054/SRR19762254/SRR19762254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/054/SRR19762254/SRR19762254_2.fastq.gz			3613999736	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/054/SRR19762254/SRR19762254.lite	HG03668		
SRR19762256	SAMN29221283	SRX15806895	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03279_batch15_rep1	1477973793;1479929080	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/056/SRR19762256/SRR19762256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/056/SRR19762256/SRR19762256_2.fastq.gz			2095563557	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/056/SRR19762256/SRR19762256.lite	HG03279		
SRR19762165	SAMN29221555	SRX15806986	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA19717_batch03_rep1	1152077552;1156506376	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/065/SRR19762165/SRR19762165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/065/SRR19762165/SRR19762165_2.fastq.gz			1637835007	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/065/SRR19762165/SRR19762165.lite	NA19717		
SRR19762266	SAMN29221276	SRX15806887	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03166_batch08_rep1	1389763778;1393126201	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/066/SRR19762266/SRR19762266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/066/SRR19762266/SRR19762266_2.fastq.gz			1988000670	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/066/SRR19762266/SRR19762266.lite	HG03166		
SRR19762177	SAMN29221519	SRX15806975	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA19308_batch02_rep1	1581128664;1585178183	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/077/SRR19762177/SRR19762177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/077/SRR19762177/SRR19762177_2.fastq.gz			2252496830	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/077/SRR19762177/SRR19762177.lite	NA19308		
SRR19762267	SAMN29221278	SRX15806889	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03225_batch12_rep1	1616313906;1617926363	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/067/SRR19762267/SRR19762267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/067/SRR19762267/SRR19762267_2.fastq.gz			2326630928	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/067/SRR19762267/SRR19762267.lite	HG03225		
SRR19762179	SAMN29221517	SRX15806972	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA19238_batch14_rep1	1832252679;1835341939	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/079/SRR19762179/SRR19762179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/079/SRR19762179/SRR19762179_2.fastq.gz			2632279023	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/079/SRR19762179/SRR19762179.lite	NA19238		
SRR19762268	SAMN29221273	SRX15806884	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG03135_batch10_rep1	1430261731;1436373180	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/068/SRR19762268/SRR19762268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/068/SRR19762268/SRR19762268_2.fastq.gz			2044333243	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/068/SRR19762268/SRR19762268.lite	HG03135		
SRR19762185	SAMN29221515	SRX15806967	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA19129_batch07_rep1	1678759513;1683230224	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/085/SRR19762185/SRR19762185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/085/SRR19762185/SRR19762185_2.fastq.gz			2395457659	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/085/SRR19762185/SRR19762185.lite	NA19129		
SRR19762270	SAMN29221650	SRX15806881	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA21120_batch12_rep1	1515355942;1517481336	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/070/SRR19762270/SRR19762270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/070/SRR19762270/SRR19762270_2.fastq.gz			2178779102	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/070/SRR19762270/SRR19762270.lite	NA21120		
SRR19762191	SAMN29221479	SRX15806961	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA18934_batch07_rep1	1724185634;1730548596	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/091/SRR19762191/SRR19762191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/091/SRR19762191/SRR19762191_2.fastq.gz			2464081626	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/091/SRR19762191/SRR19762191.lite	NA18934		
SRR19762271	SAMN29221648	SRX15806879	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA21111_batch05_rep1	2651086214;2642551232	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/071/SRR19762271/SRR19762271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/071/SRR19762271/SRR19762271_2.fastq.gz			3858452689	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/071/SRR19762271/SRR19762271.lite	NA21111		
SRR19762196	SAMN29221476	SRX15806957	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA18881_batch02_rep1	1498484861;1504150449	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/096/SRR19762196/SRR19762196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/096/SRR19762196/SRR19762196_2.fastq.gz			2152051991	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/096/SRR19762196/SRR19762196.lite	NA18881		
SRR19762272	SAMN29221647	SRX15806878	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA21110_batch07_rep1	1561814671;1564005205	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/072/SRR19762272/SRR19762272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/072/SRR19762272/SRR19762272_2.fastq.gz			2230339012	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/072/SRR19762272/SRR19762272.lite	NA21110		
SRR19762199	SAMN29221472	SRX15806953	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA18876_batch07_rep1	1510469460;1513009812	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/099/SRR19762199/SRR19762199_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/099/SRR19762199/SRR19762199_2.fastq.gz			2154533317	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/099/SRR19762199/SRR19762199.lite	NA18876		
SRR19762274	SAMN29221651	SRX15806882	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA21124_batch11_rep1	1153490550;1156163998	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/074/SRR19762274/SRR19762274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/074/SRR19762274/SRR19762274_2.fastq.gz			1694560561	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/074/SRR19762274/SRR19762274.lite	NA21124		
SRR19762200	SAMN29220963	SRX15806951	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG00311_batch11_rep2	1192688939;1197038845	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/000/SRR19762200/SRR19762200_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/000/SRR19762200/SRR19762200_2.fastq.gz			1746886284	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/000/SRR19762200/SRR19762200.lite	HG00311		
SRR19762275	SAMN29221646	SRX15806877	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA21098_batch09_rep1	1426737128;1431072225	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/075/SRR19762275/SRR19762275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/075/SRR19762275/SRR19762275_2.fastq.gz			2053023683	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/075/SRR19762275/SRR19762275.lite	NA21098		
SRR19762206	SAMN29221455	SRX15806946	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA18609_batch06_rep1	1740275968;1759703238	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/006/SRR19762206/SRR19762206_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/006/SRR19762206/SRR19762206_2.fastq.gz			2472211074	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/006/SRR19762206/SRR19762206.lite	NA18609		
SRR19762280	SAMN29221643	SRX15806873	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA20889_batch11_rep1	1335096892;1340017108	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/080/SRR19762280/SRR19762280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/080/SRR19762280/SRR19762280_2.fastq.gz			1957778395	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/080/SRR19762280/SRR19762280.lite	NA20889		
SRR19762281	SAMN29221645	SRX15806875	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA20902_batch17_rep1	3758667081;3758885763	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/081/SRR19762281/SRR19762281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/081/SRR19762281/SRR19762281_2.fastq.gz			5353772627	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/081/SRR19762281/SRR19762281.lite	NA20902		
